Abbreviation,Country_Arrivel,Year,Value
KOR,"Hong Kong, China",2019,694934
KOR,"Hong Kong, China",2020,88878
KOR,"Hong Kong, China",2021,1258
KOR,Japan,2011,3289051
KOR,Japan,2012,3518792
KOR,Japan,2013,2747750
KOR,Japan,2014,2280434
KOR,Japan,2015,1837782
KOR,Japan,2016,2297893
KOR,Japan,2017,2311447
KOR,Japan,2018,2948527
KOR,Japan,2019,3271706
KOR,Japan,2020,430742
KOR,Japan,2021,15265
KOR,Chinese Taipei,2011,428208
KOR,Chinese Taipei,2012,548233
KOR,Chinese Taipei,2013,544662
KOR,Chinese Taipei,2014,643683
KOR,Chinese Taipei,2015,518190
KOR,Chinese Taipei,2016,833465
KOR,Chinese Taipei,2017,925616
KOR,Chinese Taipei,2018,1115333
KOR,Chinese Taipei,2019,1260493
KOR,Chinese Taipei,2020,166716
KOR,Chinese Taipei,2021,4130
KOR,United States,2011,661503
KOR,United States,2012,697866
KOR,United States,2013,722315
KOR,United States,2014,770305
KOR,United States,2015,767613
KOR,United States,2016,866186
KOR,United States,2017,868881
KOR,United States,2018,967992
KOR,United States,2019,1044038
KOR,United States,2020,220417
KOR,United States,2021,204025
MEX,Canada,2011,1563146
MEX,Canada,2012,1571543
MEX,Canada,2013,1599425
MEX,Canada,2014,1676681
MEX,Canada,2015,1748531
MEX,Canada,2016,1781469
MEX,Canada,2017,1985084
MEX,Canada,2018,2155383
MEX,Canada,2019,2309528
MEX,Canada,2020,975697
MEX,Canada,2021,503589
MEX,Spain,2011,279530
MEX,Spain,2012,278812
MEX,Spain,2013,282255
MEX,Spain,2014,310123
MEX,Spain,2015,333306
MEX,Spain,2016,361498
MEX,Spain,2017,377346
MEX,Spain,2018,386257
MEX,Spain,2019,391738
MEX,Spain,2020,100023
MEX,Spain,2021,221225
MEX,France,2011,186778
MEX,France,2012,202855
MEX,France,2013,199866
MEX,France,2014,213863
MEX,France,2015,221957
MEX,France,2016,233901
MEX,France,2017,260821
MEX,France,2018,286848
MEX,France,2019,305384
MEX,France,2020,116008
MEX,France,2021,157082
MEX,United Kingdom,2011,330071
MEX,United Kingdom,2012,363142
MEX,United Kingdom,2013,414039
MEX,United Kingdom,2014,458932
MEX,United Kingdom,2015,505954
MEX,United Kingdom,2016,545055
MEX,United Kingdom,2017,563099
MEX,United Kingdom,2018,590945
MEX,United Kingdom,2019,581245
MEX,United Kingdom,2020,103889
MEX,United Kingdom,2021,125380
MEX,United States,2011,18956420
MEX,United States,2012,18658170
MEX,United States,2013,18939678
MEX,United States,2014,23399156
MEX,United States,2015,24093711
MEX,United States,2016,24261195
MEX,United States,2017,10340465
MEX,United States,2018,10496434
MEX,United States,2019,10511433
MEX,United States,2020,5151181
MEX,United States,2021,10239989
NZL,Australia,2011,1114026
NZL,Australia,2012,1114448
NZL,Australia,2013,1178272
NZL,Australia,2014,1210256
NZL,Australia,2015,1286992
NZL,Australia,2016,1351456
NZL,Australia,2017,1393488
NZL,Australia,2018,1411165
NZL,Australia,2019,1445050
NZL,Australia,2020,359781
NZL,Australia,2021,160248
NZL,China,2011,144673
NZL,China,2012,195856
NZL,China,2013,227696
NZL,China,2014,263312
NZL,China,2015,353168
NZL,China,2016,404064
NZL,China,2017,412240
NZL,China,2018,441176
NZL,China,2019,395379
NZL,China,2020,58508
NZL,China,2021,1644
NZL,United Kingdom,2011,226399
NZL,United Kingdom,2012,186608
NZL,United Kingdom,2013,188512
NZL,United Kingdom,2014,191584
NZL,United Kingdom,2015,200928
NZL,United Kingdom,2016,216864
NZL,United Kingdom,2017,244336
NZL,United Kingdom,2018,231568
NZL,United Kingdom,2019,225434
NZL,United Kingdom,2020,94255
NZL,United Kingdom,2021,6034
NZL,Japan,2011,67944
NZL,Japan,2012,70592
NZL,Japan,2013,72960
NZL,Japan,2014,79648
NZL,Japan,2015,85472
NZL,Japan,2016,98544
NZL,Japan,2017,98288
NZL,Japan,2018,96389
NZL,Japan,2019,94016
NZL,Japan,2020,25784
NZL,Japan,2021,561
NZL,United States,2011,178215
NZL,United States,2012,171888
NZL,United States,2013,195008
NZL,United States,2014,212736
NZL,United States,2015,234640
NZL,United States,2016,280432
NZL,United States,2017,315312
NZL,United States,2018,337778
NZL,United States,2019,348072
NZL,United States,2020,124818
NZL,United States,2021,5153
POL,Belarus,2011,1220000
POL,Belarus,2012,1620000
POL,Belarus,2013,1530000
POL,Belarus,2014,811000
POL,Belarus,2015,801000
POL,Belarus,2016,715000
POL,Belarus,2017,763000
POL,Belarus,2018,793000
POL,Belarus,2019,807000
POL,Belarus,2020,391000
POL,Belarus,2021,490000
POL,Germany,2011,4590000
POL,Germany,2012,4800000
POL,Germany,2013,5280000
POL,Germany,2014,5743000
POL,Germany,2015,6012000
POL,Germany,2016,6288000
POL,Germany,2017,6504000
POL,Germany,2018,6704000
POL,Germany,2019,7067000
POL,Germany,2020,3426000
POL,Germany,2021,3630000
POL,United Kingdom,2014,664000
POL,United Kingdom,2015,753000
POL,United Kingdom,2016,797000
POL,United Kingdom,2017,851000
POL,United Kingdom,2018,919000
POL,United Kingdom,2019,1002000
POL,United Kingdom,2020,360000
POL,United Kingdom,2021,389000
POL,Lithuania,2011,630000
POL,Lithuania,2012,615000
POL,Lithuania,2013,590000
POL,Lithuania,2014,605000
POL,Lithuania,2015,633000
POL,Lithuania,2016,658000
POL,Lithuania,2017,677000
POL,Lithuania,2018,696000
POL,Lithuania,2019,708000
POL,Lithuania,2020,291000
POL,Lithuania,2021,299000
POL,Russian Federation,2011,500000
POL,Russian Federation,2012,670000
POL,Russian Federation,2013,765000
POL,Russian Federation,2014,1003000
POL,Russian Federation,2015,873000
POL,Russian Federation,2016,801000
POL,Russian Federation,2017,875000
POL,Russian Federation,2018,919000
POL,Russian Federation,2019,955000
POL,Russian Federation,2020,238000
POL,Ukraine,2011,1580000
POL,Ukraine,2012,1930000
POL,Ukraine,2013,2110000
POL,Ukraine,2014,1072000
POL,Ukraine,2015,1198000
POL,Ukraine,2016,1265000
POL,Ukraine,2017,1360000
POL,Ukraine,2018,2038000
POL,Ukraine,2019,2596000
POL,Ukraine,2020,1021000
POL,Ukraine,2021,1496000
ESP,Germany,2011,8975236
ESP,Germany,2012,9318737
ESP,Germany,2013,9856687
ESP,Germany,2014,10422055
ESP,Germany,2015,10260300
ESP,Germany,2016,11208656
ESP,Germany,2017,11897376
ESP,Germany,2018,11414955
ESP,Germany,2019,11158022
ESP,Germany,2020,2391437
ESP,Germany,2021,5208894
ESP,France,2011,13615385
ESP,France,2012,13624050
ESP,France,2013,14333773
ESP,France,2014,15006744
ESP,France,2015,15764034
ESP,France,2016,17675367
ESP,France,2017,18806776
ESP,France,2018,18523957
ESP,France,2019,18012484
ESP,France,2020,3150204
ESP,France,2021,5822671
ESP,United Kingdom,2011,8375035
ESP,United Kingdom,2012,8913399
ESP,United Kingdom,2013,9539035
ESP,United Kingdom,2014,10615746
ESP,United Kingdom,2015,11503609
ESP,United Kingdom,2016,11258540
ESP,United Kingdom,2017,11267269
ESP,United Kingdom,2018,11293323
ESP,United Kingdom,2019,11147397
ESP,United Kingdom,2020,3887750
ESP,United Kingdom,2021,4302634
ESP,Italy,2011,3764818
ESP,Italy,2012,3537932
ESP,Italy,2013,3225360
ESP,Italy,2014,3697702
ESP,Italy,2015,3907288
ESP,Italy,2016,3969322
ESP,Italy,2017,4222865
ESP,Italy,2018,4389453
ESP,Italy,2019,4534515
ESP,Italy,2020,947406
ESP,Italy,2021,1839655
ESP,Nordic countries,2011,3764818
ESP,Nordic countries,2012,3537932
ESP,Nordic countries,2013,3225360
ESP,Nordic countries,2014,3697702
ESP,Nordic countries,2015,3907288
ESP,Nordic countries,2016,3969322
ESP,Nordic countries,2017,4222865
ESP,Nordic countries,2018,4389453
ESP,Nordic countries,2019,4534515
ESP,Nordic countries,2020,947406
ESP,Nordic countries,2021,1839655
SWE,Germany,2011,1369101
SWE,Germany,2012,1578299
SWE,Germany,2013,1302965
SWE,Germany,2014,1285072
SWE,Finland,2011,1791695
SWE,Finland,2012,1769268
SWE,Finland,2013,1522610
SWE,Finland,2014,1550012
SWE,United Kingdom,2011,526587
SWE,United Kingdom,2012,635655
SWE,United Kingdom,2013,548355
SWE,United Kingdom,2014,602544
SWE,Norway,2011,1956084
SWE,Norway,2012,1790993
SWE,Norway,2013,1784807
SWE,Norway,2014,1753639
TUR,Bulgaria,2011,1488384
TUR,Bulgaria,2012,1488398
TUR,Bulgaria,2013,1578647
TUR,Bulgaria,2014,1688030
TUR,Bulgaria,2015,1817175
TUR,Bulgaria,2016,1688205
TUR,Bulgaria,2017,1849666
TUR,Bulgaria,2018,2382877
TUR,Bulgaria,2019,2709905
TUR,Bulgaria,2020,1242460
TUR,Bulgaria,2021,1402081
TUR,Germany,2011,4568619
TUR,Germany,2012,4773423
TUR,Germany,2013,4811873
TUR,Germany,2014,5025663
TUR,Germany,2015,5356239
TUR,Germany,2016,3827020
TUR,Germany,2017,3517580
TUR,Germany,2018,4464324
TUR,Germany,2019,4992815
TUR,Germany,2020,1118871
TUR,Germany,2021,3083043
TUR,United Kingdom,2011,2278760
TUR,United Kingdom,2012,2155293
TUR,United Kingdom,2013,2246193
TUR,United Kingdom,2014,2351844
TUR,United Kingdom,2015,2265965
TUR,United Kingdom,2016,1587641
TUR,United Kingdom,2017,1604234
TUR,United Kingdom,2018,2220291
TUR,United Kingdom,2019,2504339
TUR,United Kingdom,2020,820509
TUR,United Kingdom,2021,386959
TUR,Russian Federation,2011,3446907
TUR,Russian Federation,2012,3579957
TUR,Russian Federation,2013,4245990
TUR,Russian Federation,2014,4460304
TUR,Russian Federation,2015,3633193
TUR,Russian Federation,2016,856612
TUR,Russian Federation,2017,4702498
TUR,Russian Federation,2018,5954388
TUR,Russian Federation,2019,6995935
TUR,Russian Federation,2020,2116656
TUR,Russian Federation,2021,4683759
TUR,Georgia,2011,1879033
TUR,Georgia,2012,1185864
TUR,Georgia,2013,1196482
TUR,Georgia,2014,1590457
TUR,Georgia,2015,1700181
TUR,Georgia,2016,1665061
TUR,Georgia,2017,2501392
TUR,Georgia,2018,2001631
TUR,Georgia,2019,2102674
TUR,Georgia,2020,408120
TUR,Georgia,2021,289767
GBR,Germany,2021,388429
GBR,Spain,2021,491939
GBR,France,2021,609721
GBR,Ireland,2021,685164
GBR,United States,2021,698671
USA,Canada,2011,21336761
USA,Canada,2012,22697345
USA,Canada,2013,23406993
USA,Canada,2014,23013691
USA,Canada,2015,20699152
USA,Canada,2016,19287499
USA,Canada,2017,20493214
USA,Canada,2018,21475152
USA,Canada,2019,20720068
USA,Canada,2020,4808888
USA,Canada,2021,2331000
USA,United Kingdom,2011,3905195
USA,United Kingdom,2012,3805681
USA,United Kingdom,2013,4017209
USA,United Kingdom,2014,4165429
USA,United Kingdom,2015,4915379
USA,United Kingdom,2016,4587092
USA,United Kingdom,2017,4482707
USA,United Kingdom,2018,4659178
USA,United Kingdom,2019,4779997
USA,United Kingdom,2020,730032
USA,United Kingdom,2021,460749
USA,Mexico,2011,13601025
USA,Mexico,2012,14198645
USA,Mexico,2013,14547237
USA,Mexico,2014,17069818
USA,Mexico,2015,18374224
USA,Mexico,2016,18990585
USA,Mexico,2017,17788008
USA,Mexico,2018,18387405
USA,Mexico,2019,18328181
USA,Mexico,2020,7041891
USA,Mexico,2021,9700000
ARG,Brazil,2011,1282374
ARG,Brazil,2012,1217353
ARG,Chile,2011,1101337
ARG,Chile,2012,1135197
ARG,Europe,2011,738778
ARG,Europe,2012,706335
ARG,Paraguay,2011,627620
ARG,Paraguay,2012,602475
ARG,Uruguay,2011,655635
ARG,Uruguay,2012,607880
BRA,Argentina,2011,1593775
BRA,Argentina,2012,1671604
BRA,Argentina,2013,1711491
BRA,Argentina,2014,1743930
BRA,Argentina,2015,2079823
BRA,Argentina,2016,2294900
BRA,Argentina,2017,2622327
BRA,Argentina,2018,2498483
BRA,Argentina,2019,1954725
BRA,Argentina,2020,887805
BRA,Chile,2011,217200
BRA,Chile,2012,250586
BRA,Chile,2013,268203
BRA,Chile,2014,336950
BRA,Chile,2015,306331
BRA,Chile,2016,311813
BRA,Chile,2017,342143
BRA,Chile,2018,387470
BRA,Chile,2019,391689
BRA,Chile,2020,131174
BRA,France,2011,207890
BRA,France,2012,218626
BRA,France,2013,224078
BRA,France,2014,282375
BRA,France,2015,261075
BRA,France,2016,263774
BRA,France,2017,254153
BRA,France,2018,238345
BRA,France,2019,257504
BRA,France,2020,70369
BRA,Paraguay,2011,192730
BRA,Paraguay,2012,246401
BRA,Paraguay,2013,268932
BRA,Paraguay,2014,293841
BRA,Paraguay,2015,301831
BRA,Paraguay,2016,316714
BRA,Paraguay,2017,336646
BRA,Paraguay,2018,356897
BRA,Paraguay,2019,406526
BRA,Paraguay,2020,122981
BRA,Uruguay,2011,261204
BRA,Uruguay,2012,253864
BRA,Uruguay,2013,262512
BRA,Uruguay,2014,223508
BRA,Uruguay,2015,267321
BRA,Uruguay,2016,284113
BRA,Uruguay,2017,328098
BRA,Uruguay,2018,348336
BRA,Uruguay,2019,364830
BRA,Uruguay,2020,113714
BRA,United States,2011,594947
BRA,United States,2012,586463
BRA,United States,2013,592827
BRA,United States,2014,656801
BRA,United States,2015,575796
BRA,United States,2016,570350
BRA,United States,2017,475232
BRA,United States,2018,538532
BRA,United States,2019,590520
BRA,United States,2020,172105
BGR,Germany,2011,700062
BGR,Germany,2012,650236
BGR,Germany,2013,682702
BGR,Germany,2014,714195
BGR,Germany,2015,622751
BGR,Germany,2016,826939
BGR,Germany,2017,870448
BGR,Germany,2018,850096
BGR,Greece,2011,942680
BGR,Greece,2012,928552
BGR,Greece,2013,935431
BGR,Greece,2014,1031981
BGR,Greece,2015,972971
BGR,Greece,2016,1067105
BGR,Greece,2017,1157622
BGR,Greece,2018,1116265
BGR,Former Yugoslav Republic of Macedonia,2011,382826
BGR,Former Yugoslav Republic of Macedonia,2012,388604
BGR,Former Yugoslav Republic of Macedonia,2013,397309
BGR,Former Yugoslav Republic of Macedonia,2014,408221
BGR,Former Yugoslav Republic of Macedonia,2015,473548
BGR,Former Yugoslav Republic of Macedonia,2016,527664
BGR,Former Yugoslav Republic of Macedonia,2017,545431
BGR,Former Yugoslav Republic of Macedonia,2018,559617
BGR,Romania,2011,960365
BGR,Romania,2012,932208
BGR,Romania,2013,941392
BGR,Romania,2014,947365
BGR,Romania,2015,986596
BGR,Romania,2016,1096874
BGR,Romania,2017,1139189
BGR,Romania,2018,1377009
BGR,Russian Federation,2011,455093
BGR,Russian Federation,2012,597504
BGR,Russian Federation,2013,681562
BGR,Russian Federation,2014,656454
BGR,Russian Federation,2015,484558
BGR,Russian Federation,2016,580002
BGR,Russian Federation,2017,557915
BGR,Russian Federation,2018,511701
BGR,Türkiye,2011,184835
BGR,Türkiye,2012,293818
BGR,Türkiye,2013,381704
BGR,Türkiye,2014,438306
BGR,Türkiye,2015,519050
BGR,Türkiye,2016,565368
BGR,Türkiye,2017,636046
BGR,Türkiye,2018,625254
CHL,Argentina,2011,1118767
CHL,Argentina,2012,1377645
CHL,Argentina,2013,1362752
CHL,Argentina,2014,1325503
CHL,Argentina,2015,1946876
CHL,Argentina,2016,2900709
CHL,Argentina,2017,3323771
CHL,Argentina,2018,2422235
CHL,Argentina,2019,1435467
CHL,Argentina,2020,414457
CHL,Argentina,2021,20912
CHL,Bolivia,2011,321488
CHL,Bolivia,2012,355758
CHL,Bolivia,2013,383765
CHL,Bolivia,2014,395335
CHL,Bolivia,2015,419822
CHL,Bolivia,2016,437154
CHL,Bolivia,2017,479690
CHL,Bolivia,2018,541294
CHL,Bolivia,2019,467699
CHL,Bolivia,2020,133426
CHL,Bolivia,2021,3653
CHL,Brazil,2011,324594
CHL,Brazil,2012,373840
CHL,Brazil,2013,362162
CHL,Brazil,2014,407740
CHL,Brazil,2015,455965
CHL,Brazil,2016,438915
CHL,Brazil,2017,544857
CHL,Brazil,2018,589172
CHL,Brazil,2019,542094
CHL,Brazil,2020,77872
CHL,Brazil,2021,13665
CHL,Peru,2011,338916
CHL,Peru,2012,338026
CHL,Peru,2013,331274
CHL,Peru,2014,343768
CHL,Peru,2015,359857
CHL,Peru,2016,403605
CHL,Peru,2017,394204
CHL,Peru,2018,388942
CHL,Peru,2019,410692
CHL,Peru,2020,97806
CHL,Peru,2021,27257
CHL,United States,2011,152446
CHL,United States,2012,158493
CHL,United States,2013,154204
CHL,United States,2014,162366
CHL,United States,2015,186613
CHL,United States,2016,208623
CHL,United States,2017,211718
CHL,United States,2018,222355
CHL,United States,2019,224741
CHL,United States,2020,62045
CHL,United States,2021,17612
COL,Argentina,2011,86365
COL,Argentina,2012,103434
COL,Argentina,2013,120741
COL,Argentina,2014,118368
COL,Argentina,2015,125558
COL,Argentina,2016,135157
COL,Argentina,2017,185891
COL,Argentina,2018,197707
COL,Argentina,2019,174807
COL,Argentina,2020,44738
COL,Argentina,2021,17686
COL,Brazil,2011,90646
COL,Brazil,2012,83328
COL,Brazil,2013,89753
COL,Brazil,2014,124779
COL,Brazil,2015,138078
COL,Brazil,2016,181861
COL,Brazil,2017,209138
COL,Brazil,2018,196829
COL,Brazil,2019,156883
COL,Brazil,2020,39326
COL,Brazil,2021,20656
COL,United States,2011,328663
COL,United States,2012,330805
COL,United States,2013,343685
COL,United States,2014,376624
COL,United States,2015,446158
COL,United States,2016,499032
COL,United States,2017,529013
COL,United States,2018,647784
COL,United States,2019,705359
COL,United States,2020,230331
COL,United States,2021,372498
COL,Venezuela,2011,215007
COL,Venezuela,2012,231227
COL,Venezuela,2013,239268
COL,Venezuela,2014,272814
COL,Venezuela,2015,306046
COL,Venezuela,2016,288212
COL,Venezuela,2017,371356
COL,Venezuela,2018,398587
COL,Venezuela,2019,399812
COL,Venezuela,2020,111627
COL,Venezuela,2021,133763
COL,Ecuador,2011,101512
COL,Ecuador,2012,107666
COL,Ecuador,2013,114126
COL,Ecuador,2014,126744
COL,Ecuador,2015,151761
COL,Ecuador,2016,167127
COL,Ecuador,2017,168998
COL,Ecuador,2018,164031
COL,Ecuador,2019,159165
COL,Ecuador,2020,37918
COL,Ecuador,2021,38841
CRI,Canada,2011,133033
CRI,Canada,2012,151568
CRI,Canada,2013,160398
CRI,Canada,2014,172730
CRI,Canada,2015,175771
CRI,Canada,2016,188104
CRI,Canada,2017,201921
CRI,Canada,2018,217006
CRI,Canada,2019,234621
CRI,Canada,2020,115632
CRI,Canada,2021,53185
CRI,Europe,2011,290719
CRI,Europe,2012,284996
CRI,Europe,2013,300942
CRI,Europe,2014,370482
CRI,Europe,2015,393115
CRI,Europe,2016,434884
CRI,Europe,2017,462295
CRI,Europe,2018,480102
CRI,Europe,2019,500602
CRI,Europe,2020,169949
CRI,Europe,2021,229813
CRI,United States,2011,858829
CRI,United States,2012,921097
CRI,United States,2013,929402
CRI,United States,2014,997262
CRI,United States,2015,1077044
CRI,United States,2016,1233277
CRI,United States,2017,1199241
CRI,United States,2018,1265067
CRI,United States,2019,1334777
CRI,United States,2020,434775
CRI,United States,2021,868986
CRI,Central America,2011,674172
CRI,Central America,2012,721049
CRI,Central America,2013,736161
CRI,Central America,2014,716645
CRI,Central America,2015,709102
CRI,Central America,2016,724638
CRI,Central America,2017,735178
CRI,Central America,2018,691386
CRI,Central America,2019,698601
CRI,Central America,2020,202374
CRI,Central America,2021,78425
CRI,South America,2011,128911
CRI,South America,2012,136486
CRI,South America,2013,164224
CRI,South America,2014,138138
CRI,South America,2015,156152
CRI,South America,2016,181179
CRI,South America,2017,181399
CRI,South America,2018,190413
CRI,South America,2019,195581
CRI,South America,2020,50237
CRI,South America,2021,60221
EGY,Germany,2011,965000
EGY,Germany,2012,1165000
EGY,Germany,2013,885479
EGY,Germany,2014,877228
EGY,Germany,2015,1010879
EGY,Germany,2016,653915
EGY,France,2011,345000
EGY,France,2012,318000
EGY,France,2013,191689
EGY,France,2014,144766
EGY,France,2015,136623
EGY,France,2016,101075
EGY,United Kingdom,2011,1034000
EGY,United Kingdom,2012,1012000
EGY,United Kingdom,2013,955344
EGY,United Kingdom,2014,905713
EGY,United Kingdom,2015,869481
EGY,United Kingdom,2016,231299
EGY,Italy,2011,555000
EGY,Italy,2012,719000
EGY,Italy,2013,504110
EGY,Italy,2014,400356
EGY,Italy,2015,332932
EGY,Italy,2016,131458
EGY,Russian Federation,2011,1832000
EGY,Russian Federation,2012,2518000
EGY,Russian Federation,2013,2393908
EGY,Russian Federation,2014,3138958
EGY,Russian Federation,2015,2389882
EGY,Russian Federation,2016,53864
EST,Germany,2011,166720
EST,Germany,2012,174567
EST,Germany,2013,161636
EST,Germany,2014,178961
EST,Germany,2015,193382
EST,Germany,2016,207164
EST,Germany,2017,219203
EST,Germany,2018,245408
EST,Germany,2019,269470
EST,Germany,2020,56278
EST,Germany,2021,67212
EST,Finland,2011,1201601
EST,Finland,2012,1206837
EST,Finland,2013,1294512
EST,Finland,2014,1303854
EST,Finland,2015,1233652
EST,Finland,2016,1279877
EST,Finland,2017,1222694
EST,Finland,2018,1145376
EST,Finland,2019,1129699
EST,Finland,2020,419066
EST,Finland,2021,214504
EST,Latvia,2011,202358
EST,Latvia,2012,208552
EST,Latvia,2013,218852
EST,Latvia,2014,232808
EST,Latvia,2015,245897
EST,Latvia,2016,264795
EST,Latvia,2017,291852
EST,Latvia,2018,297878
EST,Latvia,2019,319623
EST,Latvia,2020,178147
EST,Latvia,2021,137604
EST,Russian Federation,2011,342757
EST,Russian Federation,2012,464383
EST,Russian Federation,2013,551152
EST,Russian Federation,2014,542841
EST,Russian Federation,2015,388416
EST,Russian Federation,2016,412353
EST,Russian Federation,2017,459559
EST,Russian Federation,2018,463684
EST,Russian Federation,2019,462857
EST,Russian Federation,2020,111969
EST,Russian Federation,2021,44088
EST,Sweden,2011,187972
EST,Sweden,2012,158267
EST,Sweden,2013,153081
EST,Sweden,2014,141043
EST,Sweden,2015,116722
EST,Sweden,2016,120927
EST,Sweden,2017,120729
EST,Sweden,2018,119019
EST,Sweden,2019,129084
EST,Sweden,2020,18942
EST,Sweden,2021,30229
IND,United Kingdom,2011,798249
IND,United Kingdom,2012,788170
IND,United Kingdom,2013,809444
IND,United Kingdom,2014,838860
IND,United Kingdom,2015,867601
IND,United Kingdom,2016,941883
IND,United Kingdom,2017,986296
IND,United Kingdom,2018,1029757
IND,United Kingdom,2019,1000292
IND,United Kingdom,2020,291874
IND,United Kingdom,2021,148686
IND,Russian Federation,2011,144312
IND,Russian Federation,2012,177526
IND,Russian Federation,2013,259120
