Abbreviation,Variable,Year,Value
GBR,Same-day visitors (excursionists),2014,1585000000
GBR,Same-day visitors (excursionists),2015,1754000000
GBR,Same-day visitors (excursionists),2016,1834200000
GBR,Same-day visitors (excursionists),2017,1793400000
GBR,Same-day visitors (excursionists),2018,1703000000
GBR,Same-day visitors (excursionists),2019,1653000000
USA,Overnight visitors (tourists),2011,1378275000
USA,Overnight visitors (tourists),2012,1400907000
USA,Overnight visitors (tourists),2013,1421124000
USA,Overnight visitors (tourists),2014,1455417000
USA,Overnight visitors (tourists),2015,1525090000
USA,Overnight visitors (tourists),2016,1565652240
USA,Overnight visitors (tourists),2017,1591915864
USA,Overnight visitors (tourists),2018,1613986928
USA,Overnight visitors (tourists),2019,1646613553
USA,Overnight visitors (tourists),2020,1122368168
USA,Overnight visitors (tourists),2021,1449133584
USA,Same-day visitors (excursionists),2011,619225000
USA,Same-day visitors (excursionists),2012,629393000
USA,Same-day visitors (excursionists),2013,638476000
USA,Same-day visitors (excursionists),2014,653883000
USA,Same-day visitors (excursionists),2015,653610000
USA,Same-day visitors (excursionists),2016,639491760
USA,Same-day visitors (excursionists),2017,649084136.4
USA,Same-day visitors (excursionists),2018,664013071.5
USA,Same-day visitors (excursionists),2019,671386447.2
USA,Same-day visitors (excursionists),2020,457631832
USA,Same-day visitors (excursionists),2021,590866416
ARG,Overnight visitors (tourists),2011,15248266
ARG,Overnight visitors (tourists),2012,15383644
BGR,Overnight visitors (tourists),2011,2623000
BGR,Overnight visitors (tourists),2012,2862000
BGR,Overnight visitors (tourists),2013,3026616
BGR,Overnight visitors (tourists),2014,3154330
BGR,Overnight visitors (tourists),2015,3414665
BGR,Overnight visitors (tourists),2016,3809465
BGR,Overnight visitors (tourists),2017,3805816
BGR,Overnight visitors (tourists),2018,3889521
BGR,Overnight visitors (tourists),2019,4120284
BGR,Overnight visitors (tourists),2020,2847984
BGR,Overnight visitors (tourists),2021,3754603
CHL,Overnight visitors (tourists),2015,21813000
CHL,Overnight visitors (tourists),2016,45409099.51
CHL,Overnight visitors (tourists),2017,46016375.86
CHL,Overnight visitors (tourists),2018,52973666.01
CHL,Overnight visitors (tourists),2019,53748581.13
CHL,Overnight visitors (tourists),2020,39322783.87
CHL,Overnight visitors (tourists),2021,49062196.18
CHL,Same-day visitors (excursionists),2016,17570984.09
CHL,Same-day visitors (excursionists),2017,17756410.41
CHL,Same-day visitors (excursionists),2018,20370042.22
CHL,Same-day visitors (excursionists),2019,20710737.32
CHL,Same-day visitors (excursionists),2020,15102452.35
CHL,Same-day visitors (excursionists),2021,19315126.64
HRV,Overnight visitors (tourists),2011,6010000
HRV,Overnight visitors (tourists),2012,6056000
HRV,Overnight visitors (tourists),2013,6225000
HRV,Overnight visitors (tourists),2014,5411000
HRV,Overnight visitors (tourists),2015,4040000
HRV,Overnight visitors (tourists),2016,2926000
HRV,Overnight visitors (tourists),2017,3638000
HRV,Overnight visitors (tourists),2018,3197000
HRV,Overnight visitors (tourists),2019,3708000
HRV,Overnight visitors (tourists),2020,2510250
HRV,Overnight visitors (tourists),2021,3278070
HRV,Same-day visitors (excursionists),2011,8842000
HRV,Same-day visitors (excursionists),2012,9032000
HRV,Same-day visitors (excursionists),2013,9618000
HRV,Same-day visitors (excursionists),2014,11104000
HRV,Same-day visitors (excursionists),2015,8155000
HRV,Same-day visitors (excursionists),2016,5877000
HRV,Same-day visitors (excursionists),2017,2976000
HRV,Same-day visitors (excursionists),2018,4969000
HRV,Same-day visitors (excursionists),2019,6737000
HRV,Same-day visitors (excursionists),2020,3672659
HRV,Same-day visitors (excursionists),2021,3696140
EGY,Overnight visitors (tourists),2011,7339847
EGY,Overnight visitors (tourists),2012,7455686
EGY,Overnight visitors (tourists),2013,8712854
EGY,Overnight visitors (tourists),2014,8927950
EGY,Overnight visitors (tourists),2015,9148188
EGY,Same-day visitors (excursionists),2011,9141305
EGY,Same-day visitors (excursionists),2012,9269256
EGY,Same-day visitors (excursionists),2013,10835710
EGY,Same-day visitors (excursionists),2014,11124996
EGY,Same-day visitors (excursionists),2015,11399675
EST,Overnight visitors (tourists),2011,918000
EST,Overnight visitors (tourists),2012,966376
EST,Overnight visitors (tourists),2013,1040735
EST,Overnight visitors (tourists),2014,1103755
EST,Overnight visitors (tourists),2015,1182979
EST,Overnight visitors (tourists),2016,1268388
EST,Overnight visitors (tourists),2017,1388785
EST,Overnight visitors (tourists),2018,1450960
EST,Overnight visitors (tourists),2019,1536526
EST,Overnight visitors (tourists),2020,1296065
EST,Overnight visitors (tourists),2021,1575563
EST,Overnight visitors (tourists),2011,1561200
EST,Overnight visitors (tourists),2012,1761100
EST,Overnight visitors (tourists),2013,1733600
EST,Overnight visitors (tourists),2014,2572300
EST,Overnight visitors (tourists),2015,2704400
EST,Overnight visitors (tourists),2016,3253600
EST,Overnight visitors (tourists),2017,3276700
EST,Overnight visitors (tourists),2018,4399100
EST,Overnight visitors (tourists),2019,3486300
EST,Overnight visitors (tourists),2020,2135600
EST,Overnight visitors (tourists),2021,2266500
EST,Same-day visitors (excursionists),2015,7554500
EST,Same-day visitors (excursionists),2018,8216800
EST,Same-day visitors (excursionists),2021,5199864
IND,Overnight visitors (tourists),2011,864532718
IND,Overnight visitors (tourists),2012,1045047536
IND,Overnight visitors (tourists),2013,1142529465
IND,Overnight visitors (tourists),2014,1282801629
IND,Overnight visitors (tourists),2015,1431973794
IND,Overnight visitors (tourists),2016,1615388619
IND,Overnight visitors (tourists),2017,1657546152
IND,Overnight visitors (tourists),2018,1853787719
IND,Overnight visitors (tourists),2019,2321982663
IND,Overnight visitors (tourists),2020,610216157
IDN,Overnight visitors (tourists),2011,236751599
IDN,Overnight visitors (tourists),2012,245290061.7
IDN,Overnight visitors (tourists),2013,250036369.9
IDN,Overnight visitors (tourists),2014,251237262
IDN,Overnight visitors (tourists),2015,256419006
IDN,Overnight visitors (tourists),2016,264337518
IDN,Overnight visitors (tourists),2017,270822003
IDN,Overnight visitors (tourists),2018,303403888
IDN,Overnight visitors (tourists),2019,354353320
IDN,Overnight visitors (tourists),2020,364698270
IDN,Overnight visitors (tourists),2021,399524096
ISR,Overnight visitors (tourists),2011,6711000
ISR,Overnight visitors (tourists),2012,6997000
ISR,Overnight visitors (tourists),2013,7130000
ISR,Overnight visitors (tourists),2014,7300000
ISR,Overnight visitors (tourists),2015,7946000
ISR,Overnight visitors (tourists),2016,8183000
ISR,Overnight visitors (tourists),2017,8043000
ISR,Overnight visitors (tourists),2018,8071000
ISR,Overnight visitors (tourists),2019,8243000
ISR,Overnight visitors (tourists),2020,3940700
ISR,Overnight visitors (tourists),2021,8575000
KAZ,Overnight visitors (tourists),2011,2209930
KAZ,Overnight visitors (tourists),2012,2448941
KAZ,Overnight visitors (tourists),2013,2572779
KAZ,Overnight visitors (tourists),2014,2978237
KAZ,Overnight visitors (tourists),2015,2685132
KAZ,Overnight visitors (tourists),2016,3245250
KAZ,Overnight visitors (tourists),2017,4194738
KAZ,Overnight visitors (tourists),2018,4414815
KAZ,Same-day visitors (excursionists),2011,51599
KAZ,Same-day visitors (excursionists),2012,58064
KAZ,Same-day visitors (excursionists),2013,148935
KAZ,Same-day visitors (excursionists),2014,147192
KAZ,Same-day visitors (excursionists),2015,424880
KAZ,Same-day visitors (excursionists),2016,250017
KAZ,Same-day visitors (excursionists),2017,192757
KAZ,Same-day visitors (excursionists),2018,281127
LVA,Overnight visitors (tourists),2011,521702
LVA,Overnight visitors (tourists),2012,548484
LVA,Overnight visitors (tourists),2013,589427
LVA,Overnight visitors (tourists),2014,667343
LVA,Overnight visitors (tourists),2015,664628
LVA,Overnight visitors (tourists),2016,730011
LVA,Overnight visitors (tourists),2017,798365
LVA,Overnight visitors (tourists),2018,883411
LVA,Overnight visitors (tourists),2019,907414
LVA,Overnight visitors (tourists),2020,747990
LVA,Overnight visitors (tourists),2021,864400
LVA,Overnight visitors (tourists),2012,3796070
LVA,Overnight visitors (tourists),2013,3156196
LVA,Overnight visitors (tourists),2014,3257763
LVA,Overnight visitors (tourists),2015,2972204
LVA,Overnight visitors (tourists),2016,3071015
LVA,Overnight visitors (tourists),2017,2942355
LVA,Overnight visitors (tourists),2018,2583637
LVA,Overnight visitors (tourists),2019,2500924
LVA,Overnight visitors (tourists),2020,1366949
LVA,Overnight visitors (tourists),2021,2392349
LVA,Same-day visitors (excursionists),2012,8353313
LVA,Same-day visitors (excursionists),2013,8994587
LVA,Same-day visitors (excursionists),2014,8154830
LVA,Same-day visitors (excursionists),2015,7718387
LVA,Same-day visitors (excursionists),2016,9126318
LVA,Same-day visitors (excursionists),2017,9589961
LVA,Same-day visitors (excursionists),2018,8364522
LVA,Same-day visitors (excursionists),2019,7915014
LVA,Same-day visitors (excursionists),2020,4786314
LVA,Same-day visitors (excursionists),2021,5889505
LTU,Overnight visitors (tourists),2011,2479357
LTU,Overnight visitors (tourists),2012,2515457
LTU,Overnight visitors (tourists),2013,2588650
LTU,Overnight visitors (tourists),2014,2649216
LTU,Overnight visitors (tourists),2015,2663154
LTU,Overnight visitors (tourists),2016,2554103
LTU,Overnight visitors (tourists),2017,2528015
LTU,Overnight visitors (tourists),2018,2640800
LTU,Overnight visitors (tourists),2019,2826900
LTU,Overnight visitors (tourists),2020,2437700
LTU,Overnight visitors (tourists),2021,3089700
LTU,Same-day visitors (excursionists),2011,11708524
LTU,Same-day visitors (excursionists),2012,11339223
LTU,Same-day visitors (excursionists),2013,10986395
LTU,Same-day visitors (excursionists),2014,11245119
LTU,Same-day visitors (excursionists),2015,11484416
LTU,Same-day visitors (excursionists),2016,11670016
LTU,Same-day visitors (excursionists),2017,11718998
LTU,Same-day visitors (excursionists),2018,12036800
LTU,Same-day visitors (excursionists),2019,11958000
LTU,Same-day visitors (excursionists),2020,8951400
LTU,Same-day visitors (excursionists),2021,8502900
MLT,Overnight visitors (tourists),2012,204913
MLT,Overnight visitors (tourists),2013,189805
MLT,Overnight visitors (tourists),2014,200383
MLT,Overnight visitors (tourists),2015,203584.211
MLT,Overnight visitors (tourists),2016,236402.971
MLT,Overnight visitors (tourists),2017,260762.766
MLT,Overnight visitors (tourists),2018,245476.698
MLT,Overnight visitors (tourists),2019,237237.482
MLT,Overnight visitors (tourists),2020,360460.094
MAR,Overnight visitors (tourists),2011,2061201
MAR,Overnight visitors (tourists),2012,2265226
MAR,Overnight visitors (tourists),2013,2398621
MAR,Overnight visitors (tourists),2014,2403039
MAR,Overnight visitors (tourists),2015,2644917
MAR,Overnight visitors (tourists),2016,2929485
MAR,Overnight visitors (tourists),2017,3120775
MAR,Overnight visitors (tourists),2018,3247378
MAR,Overnight visitors (tourists),2019,3549573
MAR,Overnight visitors (tourists),2020,1442096
MAR,Overnight visitors (tourists),2021,2764895
ROU,Overnight visitors (tourists),2011,11986000
ROU,Overnight visitors (tourists),2012,15833076
ROU,Overnight visitors (tourists),2013,16357394
ROU,Overnight visitors (tourists),2014,15840344
ROU,Overnight visitors (tourists),2015,16193896
ROU,Overnight visitors (tourists),2016,15014932
ROU,Overnight visitors (tourists),2017,16444213
ROU,Overnight visitors (tourists),2018,16461348
ROU,Overnight visitors (tourists),2019,16863013
ROU,Overnight visitors (tourists),2020,11591298
ROU,Overnight visitors (tourists),2021,16875520
ROU,Same-day visitors (excursionists),2011,29018000
ROU,Same-day visitors (excursionists),2012,37679616
ROU,Same-day visitors (excursionists),2013,36052841
ROU,Same-day visitors (excursionists),2014,34243511
ROU,Same-day visitors (excursionists),2015,36567822
ROU,Same-day visitors (excursionists),2016,31971113
ROU,Same-day visitors (excursionists),2017,34808597
ROU,Same-day visitors (excursionists),2018,35623795
ROU,Same-day visitors (excursionists),2019,36062054
ROU,Same-day visitors (excursionists),2020,26543821
ROU,Same-day visitors (excursionists),2021,34604920
RUS,Overnight visitors (tourists),2011,29310180
RUS,Overnight visitors (tourists),2012,31798384
RUS,Overnight visitors (tourists),2013,32560580
RUS,Overnight visitors (tourists),2014,33798523
RUS,Overnight visitors (tourists),2015,43656898
RUS,Overnight visitors (tourists),2016,48338704
RUS,Overnight visitors (tourists),2017,53534365
RUS,Overnight visitors (tourists),2018,60921280
RUS,Overnight visitors (tourists),2019,65185770
SVN,Overnight visitors (tourists),2011,1299637
SVN,Overnight visitors (tourists),2012,1259036
SVN,Overnight visitors (tourists),2013,1244424
SVN,Overnight visitors (tourists),2014,1226492
SVN,Overnight visitors (tourists),2015,1351860
SVN,Overnight visitors (tourists),2016,1437198
SVN,Overnight visitors (tourists),2017,1512602
SVN,Overnight visitors (tourists),2018,1508128
SVN,Overnight visitors (tourists),2019,1527695
SVN,Overnight visitors (tourists),2020,1848971
SVN,Overnight visitors (tourists),2021,2171236
SVN,Overnight visitors (tourists),2012,2065000
SVN,Overnight visitors (tourists),2013,2025000
SVN,Overnight visitors (tourists),2014,1888000
SVN,Overnight visitors (tourists),2015,1535000
SVN,Overnight visitors (tourists),2016,1720000
SVN,Overnight visitors (tourists),2017,1813000
SVN,Overnight visitors (tourists),2018,2003000
SVN,Overnight visitors (tourists),2019,1742000
SVN,Overnight visitors (tourists),2020,1263000
SVN,Overnight visitors (tourists),2021,3247000
SVN,Same-day visitors (excursionists),2012,8825000
SVN,Same-day visitors (excursionists),2015,8481000
SVN,Same-day visitors (excursionists),2018,8914000
SVN,Same-day visitors (excursionists),2021,10790000
ZAF,Overnight visitors (tourists),2011,26300000
ZAF,Overnight visitors (tourists),2012,25400000
ZAF,Overnight visitors (tourists),2013,25200000
ZAF,Overnight visitors (tourists),2014,28009000
ZAF,Overnight visitors (tourists),2015,24451000
ZAF,Overnight visitors (tourists),2016,24280000
ZAF,Overnight visitors (tourists),2017,17200000
ZAF,Overnight visitors (tourists),2018,17650000
ZAF,Overnight visitors (tourists),2019,28456033
ZAF,Overnight visitors (tourists),2020,17037576.93
ZAF,Overnight visitors (tourists),2021,14836807.35
ZAF,Same-day visitors (excursionists),2011,274500000
ZAF,Same-day visitors (excursionists),2012,324800000
ZAF,Same-day visitors (excursionists),2013,253500000
ZAF,Same-day visitors (excursionists),2014,245875000
ZAF,Same-day visitors (excursionists),2015,224452000
ZAF,Same-day visitors (excursionists),2016,125206000
ZAF,Same-day visitors (excursionists),2017,135000000
ZAF,Same-day visitors (excursionists),2018,116000000
ZAF,Same-day visitors (excursionists),2019,236524152
ZAF,Same-day visitors (excursionists),2020,108039084.1
ZAF,Same-day visitors (excursionists),2021,68760211.09
BEL-BRU,Overnight visitors (tourists),2011,665785
BEL-BRU,Overnight visitors (tourists),2012,634277
BEL-BRU,Overnight visitors (tourists),2013,665447
BEL-BRU,Overnight visitors (tourists),2014,702128
BEL-BRU,Overnight visitors (tourists),2015,676254
BEL-BRU,Overnight visitors (tourists),2016,634245
BEL-BRU,Overnight visitors (tourists),2017,728099
BEL-BRU,Overnight visitors (tourists),2018,789642
BEL-BRU,Overnight visitors (tourists),2019,871501
BEL-BRU,Overnight visitors (tourists),2020,297226
BEL-VLG,Overnight visitors (tourists),2011,2245613
BEL-VLG,Overnight visitors (tourists),2012,2188458
BEL-VLG,Overnight visitors (tourists),2013,2276667
BEL-VLG,Overnight visitors (tourists),2014,2419927
BEL-VLG,Overnight visitors (tourists),2015,2582100
BEL-VLG,Overnight visitors (tourists),2016,2589622
BEL-VLG,Overnight visitors (tourists),2017,2639340
BEL-VLG,Overnight visitors (tourists),2018,2884713
BEL-VLG,Overnight visitors (tourists),2019,2959538
BEL-VLG,Overnight visitors (tourists),2020,1491981
BEL-WAL,Overnight visitors (tourists),2011,971399
BEL-WAL,Overnight visitors (tourists),2012,982854
BEL-WAL,Overnight visitors (tourists),2013,1005114
BEL-WAL,Overnight visitors (tourists),2014,1053332
BEL-WAL,Overnight visitors (tourists),2015,1046061
BEL-WAL,Overnight visitors (tourists),2016,1102012
BEL-WAL,Overnight visitors (tourists),2017,1124378
BEL-WAL,Overnight visitors (tourists),2018,1126796
BEL-WAL,Overnight visitors (tourists),2019,1122785
BEL-WAL,Overnight visitors (tourists),2020,749011
SRB,Overnight visitors (tourists),2011,1304443
SRB,Overnight visitors (tourists),2012,1269676
SRB,Overnight visitors (tourists),2013,1270667
SRB,Overnight visitors (tourists),2014,1163536
SRB,Overnight visitors (tourists),2015,1304944
SRB,Overnight visitors (tourists),2016,1472165
SRB,Overnight visitors (tourists),2017,1588693
SRB,Overnight visitors (tourists),2018,1720008
SRB,Overnight visitors (tourists),2019,1843432
SRB,Overnight visitors (tourists),2020,1374310
SRB,Overnight visitors (tourists),2021,1720054
SVK,Overnight visitors (tourists),2011,2110732
SVK,Overnight visitors (tourists),2012,2246562
SVK,Overnight visitors (tourists),2013,2378557
SVK,Overnight visitors (tourists),2014,2252693
SVK,Overnight visitors (tourists),2015,2609056
SVK,Overnight visitors (tourists),2016,2996620
SVK,Overnight visitors (tourists),2017,3213091
SVK,Overnight visitors (tourists),2018,3340380
SVK,Overnight visitors (tourists),2019,3957840
SVK,Overnight visitors (tourists),2020,2355996
SVK,Overnight visitors (tourists),2021,2148900
GRC,Same-day visitors (excursionists),2015,13913442
GRC,Same-day visitors (excursionists),2016,12281637
GRC,Same-day visitors (excursionists),2017,19158156
GRC,Same-day visitors (excursionists),2018,20609947
GRC,Same-day visitors (excursionists),2019,22698987
GRC,Same-day visitors (excursionists),2020,19058891
GRC,Same-day visitors (excursionists),2021,17068721
HUN,Same-day visitors (excursionists),2015,30278855
HUN,Same-day visitors (excursionists),2016,31144313
HUN,Same-day visitors (excursionists),2017,32441946
HUN,Same-day visitors (excursionists),2018,33924191
HUN,Same-day visitors (excursionists),2019,33674102
HUN,Same-day visitors (excursionists),2020,21013160
HUN,Same-day visitors (excursionists),2021,28627640
PER,Overnight visitors (tourists),2011,34577742
PER,Overnight visitors (tourists),2012,35519190
PER,Overnight visitors (tourists),2013,37030328
PER,Overnight visitors (tourists),2014,38731110
PER,Overnight visitors (tourists),2015,40507039
PER,Overnight visitors (tourists),2016,42387289
PER,Overnight visitors (tourists),2017,44382223
PER,Overnight visitors (tourists),2018,46517399
PER,Overnight visitors (tourists),2019,48575226
PER,Overnight visitors (tourists),2020,14369718
PER,Overnight visitors (tourists),2021,15562405
PER,Same-day visitors (excursionists),2011,59902872
PER,Same-day visitors (excursionists),2012,62422080
PER,Same-day visitors (excursionists),2013,64985284
PER,Same-day visitors (excursionists),2014,68189378
PER,Same-day visitors (excursionists),2015,71460991
PER,Same-day visitors (excursionists),2016,75026276
PER,Same-day visitors (excursionists),2017,76684304
PER,Same-day visitors (excursionists),2018,82321716
PER,Same-day visitors (excursionists),2019,86419565
PER,Same-day visitors (excursionists),2020,32699836
PER,Same-day visitors (excursionists),2021,48946546
BEL,Overnight visitors (tourists),2015,4201242.773
BEL,Overnight visitors (tourists),2016,3845109.58
BEL,Overnight visitors (tourists),2017,3997303.746
BEL,Overnight visitors (tourists),2018,4872278.529
BEL,Overnight visitors (tourists),2019,5361563.652
BEL,Overnight visitors (tourists),2020,4283886.375
BEL,Overnight visitors (tourists),2021,6911466.469
NLD,Overnight visitors (tourists),2011,17741000
NLD,Overnight visitors (tourists),2012,18120000
NLD,Overnight visitors (tourists),2013,17490000
NLD,Overnight visitors (tourists),2014,17176000
NLD,Overnight visitors (tourists),2015,16991000
NLD,Overnight visitors (tourists),2016,17583000
NLD,Overnight visitors (tourists),2017,19168000
NLD,Overnight visitors (tourists),2018,18341000
NLD,Overnight visitors (tourists),2019,17989000
NLD,Overnight visitors (tourists),2020,16958000
NLD,Overnight visitors (tourists),2021,21664000
NLD,Same-day visitors (excursionists),2018,864762000
NLD,Same-day visitors (excursionists),2021,49199000
LTU,Overnight visitors (tourists),2012,1090318
LTU,Overnight visitors (tourists),2013,1199914
LTU,Overnight visitors (tourists),2014,1316696
LTU,Overnight visitors (tourists),2015,1417321
LTU,Overnight visitors (tourists),2016,1546624
LTU,Overnight visitors (tourists),2017,1669403
LTU,Overnight visitors (tourists),2018,1875657
LTU,Overnight visitors (tourists),2019,2099777
LTU,Overnight visitors (tourists),2020,1615148
LTU,Overnight visitors (tourists),2021,1962633
BEL-BRU,Overnight visitors (tourists),2017,319365.832
BEL-BRU,Overnight visitors (tourists),2018,393876.311
BEL-BRU,Overnight visitors (tourists),2019,416030.533
BEL-BRU,Overnight visitors (tourists),2020,457216.628
BEL-VLG,Overnight visitors (tourists),2017,2800035.839
BEL-VLG,Overnight visitors (tourists),2018,3350554.869
BEL-VLG,Overnight visitors (tourists),2019,3654104.371
BEL-VLG,Overnight visitors (tourists),2020,2675188.908
BEL-WAL,Overnight visitors (tourists),2017,877902.074
BEL-WAL,Overnight visitors (tourists),2018,1127847.35
BEL-WAL,Overnight visitors (tourists),2019,1291428.748
BEL-WAL,Overnight visitors (tourists),2020,1151480.839
IDN,Same-day visitors (excursionists),2019,367805413
IDN,Same-day visitors (excursionists),2020,159873122
IDN,Same-day visitors (excursionists),2021,203495904
BEL,Same-day visitors (excursionists),2015,13986365.79
BEL,Same-day visitors (excursionists),2018,18480268.24
BEL,Same-day visitors (excursionists),2021,19012532.86
BRA,Overnight visitors (tourists),2020,9637000
BRA,Overnight visitors (tourists),2021,9256000
BRA,Same-day visitors (excursionists),2020,3665000
BRA,Same-day visitors (excursionists),2021,2991000
COL,Overnight visitors (tourists),2015,39378488
COL,Overnight visitors (tourists),2016,41428004.08
COL,Overnight visitors (tourists),2017,43845565.74
COL,Overnight visitors (tourists),2018,45280104.76
COL,Overnight visitors (tourists),2019,46278899.97
COL,Overnight visitors (tourists),2020,19419263.18
COL,Overnight visitors (tourists),2021,25659584.08
COL,Same-day visitors (excursionists),2015,32877347.51
COL,Same-day visitors (excursionists),2016,34270331.49
COL,Same-day visitors (excursionists),2017,34488198.67
COL,Same-day visitors (excursionists),2018,35803818.77
COL,Same-day visitors (excursionists),2019,37576755.04
COL,Same-day visitors (excursionists),2020,13016866.62
COL,Same-day visitors (excursionists),2021,17314234.03
HRV,Overnight visitors (tourists),2011,1488185
HRV,Overnight visitors (tourists),2012,1419098
HRV,Overnight visitors (tourists),2013,1441698
HRV,Overnight visitors (tourists),2014,1461490
HRV,Overnight visitors (tourists),2015,1622516
HRV,Overnight visitors (tourists),2016,1748590
HRV,Overnight visitors (tourists),2017,1837681
HRV,Overnight visitors (tourists),2018,2021709
HRV,Overnight visitors (tourists),2019,2212658
HRV,Overnight visitors (tourists),2020,1455849
HRV,Overnight visitors (tourists),2021,2134985
MLT,Overnight visitors (tourists),2011,143885.236
MLT,Overnight visitors (tourists),2012,153607.89
MLT,Overnight visitors (tourists),2013,148662.082
MLT,Overnight visitors (tourists),2014,155483.744
MLT,Overnight visitors (tourists),2015,157266.67
MLT,Overnight visitors (tourists),2016,151389.106
MLT,Overnight visitors (tourists),2017,167109.25
MLT,Overnight visitors (tourists),2018,184577
MLT,Overnight visitors (tourists),2019,201076
MLT,Overnight visitors (tourists),2020,219321
MLT,Overnight visitors (tourists),2021,245245
ROU,Overnight visitors (tourists),2011,5514907
ROU,Overnight visitors (tourists),2012,6030053
ROU,Overnight visitors (tourists),2013,6225798
ROU,Overnight visitors (tourists),2014,6551339
ROU,Overnight visitors (tourists),2015,7681896
ROU,Overnight visitors (tourists),2016,8521698
ROU,Overnight visitors (tourists),2017,9383266
ROU,Overnight visitors (tourists),2018,10108509
ROU,Overnight visitors (tourists),2019,10691195
ROU,Overnight visitors (tourists),2020,5944775
ROU,Overnight visitors (tourists),2021,8527409
FRA,Overnight visitors (tourists),2011,107167518
FRA,Overnight visitors (tourists),2012,106669791
FRA,Overnight visitors (tourists),2013,107692848
FRA,Overnight visitors (tourists),2014,106872222
FRA,Overnight visitors (tourists),2015,110730606
FRA,Overnight visitors (tourists),2016,112328896
FRA,Overnight visitors (tourists),2017,117915926
FRA,Overnight visitors (tourists),2018,118970000
FRA,Overnight visitors (tourists),2019,127196938
FRA,Overnight visitors (tourists),2020,73370249
FRA,Overnight visitors (tourists),2021,87120817
SAU,Overnight visitors (tourists),2015,46450433
SAU,Overnight visitors (tourists),2016,45036484
SAU,Overnight visitors (tourists),2017,43820576
SAU,Overnight visitors (tourists),2018,43255482
SAU,Overnight visitors (tourists),2019,47805187
SAU,Overnight visitors (tourists),2020,42106791
SAU,Overnight visitors (tourists),2021,63845292
SAU,Same-day visitors (excursionists),2015,7666413
SAU,Same-day visitors (excursionists),2016,4838780
SAU,Same-day visitors (excursionists),2017,3089374
SAU,Same-day visitors (excursionists),2018,3256481
SAU,Same-day visitors (excursionists),2019,5268956
SAU,Same-day visitors (excursionists),2020,6292303
SAU,Same-day visitors (excursionists),2021,9084822
